subject,relation,object,timestamp
blackburn_rovers,INVOLVED_IN,event_0011,22'
darragh_lenihan,PERFORMED,event_0011,22'
event_0012,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,22'
event_0012,PRECEDED_BY,event_0011,22'
blackburn_rovers,INVOLVED_IN,event_0012,22'
darragh_lenihan,PERFORMED,event_0012,22'
event_0011,TRIGGERED,event_0012,22'
event_0013,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,23'
event_0013,PRECEDED_BY,event_0012,23'
nottingham_forest,INVOLVED_IN,event_0013,23'
samba_sow,PERFORMED,event_0013,23'
event_0013,ASSISTED_BY,joe_lolley,23'
event_0014,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,23'
event_0014,PRECEDED_BY,event_0013,23'
nottingham_forest,INVOLVED_IN,event_0014,23'
event_0015,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,25'
event_0015,PRECEDED_BY,event_0014,25'
nottingham_forest,INVOLVED_IN,event_0015,25'
samba_sow,PERFORMED,event_0015,25'
lewis_travis,PLAYS_FOR,blackburn_rovers,25'
lewis_travis,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,25'
event_0016,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,25'
event_0016,PRECEDED_BY,event_0015,25'
blackburn_rovers,INVOLVED_IN,event_0016,25'
lewis_travis,PERFORMED,event_0016,25'
bradley_dack,PLAYS_FOR,blackburn_rovers,26'
bradley_dack,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,26'
event_0017,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,26'
event_0017,PRECEDED_BY,event_0016,26'
blackburn_rovers,INVOLVED_IN,event_0017,26'
bradley_dack,PERFORMED,event_0017,26'
event_0018,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,26'
event_0018,PRECEDED_BY,event_0017,26'
nottingham_forest,INVOLVED_IN,event_0018,26'
joe_lolley,PERFORMED,event_0018,26'
event_0019,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,27'
event_0019,PRECEDED_BY,event_0018,27'
blackburn_rovers,INVOLVED_IN,event_0019,27'
bradley_dack,PERFORMED,event_0019,27'
event_0019,ASSISTED_BY,greg_cunningham,27'
event_0020,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,28'
event_0020,PRECEDED_BY,event_0019,28'
nottingham_forest,INVOLVED_IN,event_0020,28'
lewis_grabban,PERFORMED,event_0020,28'
event_0021,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,28'
event_0021,PRECEDED_BY,event_0020,28'
blackburn_rovers,INVOLVED_IN,event_0021,28'
event_0022,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,29'
event_0022,PRECEDED_BY,event_0021,29'
blackburn_rovers,INVOLVED_IN,event_0022,29'
bradley_dack,PERFORMED,event_0022,29'
sammy_ameobi,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,31'
event_0023,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,31'
event_0023,PRECEDED_BY,event_0022,31'
nottingham_forest,INVOLVED_IN,event_0023,31'
sammy_ameobi,PERFORMED,event_0023,31'
event_0023,ASSISTED_BY,matthew_cash,31'
event_0024,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,32'
event_0024,PRECEDED_BY,event_0023,32'
blackburn_rovers,INVOLVED_IN,event_0024,32'
darragh_lenihan,PERFORMED,event_0024,32'
event_0025,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,32'
event_0025,PRECEDED_BY,event_0024,32'
nottingham_forest,INVOLVED_IN,event_0025,32'
sammy_ameobi,PERFORMED,event_0025,32'
event_0026,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,33'
event_0026,PRECEDED_BY,event_0025,33'
blackburn_rovers,INVOLVED_IN,event_0026,33'
adam_armstrong,PERFORMED,event_0026,33'
event_0027,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,33'
event_0027,PRECEDED_BY,event_0026,33'
nottingham_forest,INVOLVED_IN,event_0027,33'
sammy_ameobi,PERFORMED,event_0027,33'
event_0028,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,33'
event_0028,PRECEDED_BY,event_0027,33'
nottingham_forest,INVOLVED_IN,event_0028,33'
sammy_ameobi,PERFORMED,event_0028,33'
event_0029,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,33'
event_0029,PRECEDED_BY,event_0028,33'
nottingham_forest,INVOLVED_IN,event_0029,33'
sammy_ameobi,PERFORMED,event_0029,33'
event_0028,TRIGGERED,event_0029,33'
matthew_cash,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,34'
event_0030,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,34'
event_0030,PRECEDED_BY,event_0029,34'
nottingham_forest,INVOLVED_IN,event_0030,34'
matthew_cash,PERFORMED,event_0030,34'
event_0031,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,42'
event_0031,PRECEDED_BY,event_0030,42'
nottingham_forest,INVOLVED_IN,event_0031,42'
yuri_ribeiro,PERFORMED,event_0031,42'
derrick_williams,PLAYS_FOR,blackburn_rovers,44'
derrick_williams,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,44'
event_0032,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,44'
event_0032,PRECEDED_BY,event_0031,44'
blackburn_rovers,INVOLVED_IN,event_0032,44'
derrick_williams,PERFORMED,event_0032,44'
event_0033,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,44'
event_0033,PRECEDED_BY,event_0032,44'
nottingham_forest,INVOLVED_IN,event_0033,44'
lewis_grabban,PERFORMED,event_0033,44'
stewart_downing,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,45'
event_0034,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,45'
event_0034,PRECEDED_BY,event_0033,45'
blackburn_rovers,INVOLVED_IN,event_0034,45'
stewart_downing,PERFORMED,event_0034,45'
event_0034,ASSISTED_BY,danny_graham,45'
event_0035,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,45'
event_0035,PRECEDED_BY,event_0034,45'
blackburn_rovers,INVOLVED_IN,event_0035,45'
lewis_travis,PERFORMED,event_0035,45'
event_0036,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,45'
event_0036,PRECEDED_BY,event_0035,45'
nottingham_forest,INVOLVED_IN,event_0036,45'
yuri_ribeiro,PERFORMED,event_0036,45'
event_0037,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,45'
event_0037,PRECEDED_BY,event_0036,45'
blackburn_rovers,INVOLVED_IN,event_0037,45'
event_0038,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,46'
event_0038,PRECEDED_BY,event_0037,46'
blackburn_rovers,INVOLVED_IN,event_0038,46'
event_0039,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,46'
event_0039,PRECEDED_BY,event_0038,46'
blackburn_rovers,INVOLVED_IN,event_0039,46'
adam_armstrong,PERFORMED,event_0039,46'
event_0039,ASSISTED_BY,stewart_downing,46'
event_0040,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,45'+2'
event_0040,PRECEDED_BY,event_0039,45'+2'
blackburn_rovers,INVOLVED_IN,event_0040,45'+2'
event_0041,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,47'
event_0041,PRECEDED_BY,event_0040,47'
blackburn_rovers,INVOLVED_IN,event_0041,47'
event_0042,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,49'
event_0042,PRECEDED_BY,event_0041,49'
blackburn_rovers,INVOLVED_IN,event_0042,49'
event_0043,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,50'
event_0043,PRECEDED_BY,event_0042,50'
blackburn_rovers,INVOLVED_IN,event_0043,50'
sam_gallagher,PERFORMED,event_0043,50'
event_0043,ASSISTED_BY,greg_cunningham,50'
event_0044,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,52'
event_0044,PRECEDED_BY,event_0043,52'
nottingham_forest,INVOLVED_IN,event_0044,52'
ben_watson,PLAYS_FOR,nottingham_forest,52'
ben_watson,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,52'
event_0045,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,52'
event_0045,PRECEDED_BY,event_0044,52'
nottingham_forest,INVOLVED_IN,event_0045,52'
ben_watson,PERFORMED,event_0045,52'
event_0046,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,54'
event_0046,PRECEDED_BY,event_0045,54'
nottingham_forest,INVOLVED_IN,event_0046,54'
ben_watson,PERFORMED,event_0046,54'
event_0047,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,54'
event_0047,PRECEDED_BY,event_0046,54'
blackburn_rovers,INVOLVED_IN,event_0047,54'
bradley_dack,PERFORMED,event_0047,54'
danny_graham,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,56'
event_0048,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,56'
event_0048,PRECEDED_BY,event_0047,56'
blackburn_rovers,INVOLVED_IN,event_0048,56'
danny_graham,PERFORMED,event_0048,56'
event_0048,ASSISTED_BY,stewart_downing,56'
event_0049,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,56'
event_0049,PRECEDED_BY,event_0048,56'
blackburn_rovers,INVOLVED_IN,event_0049,56'
stewart_downing,PERFORMED,event_0049,56'
event_0050,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,56'
event_0050,PRECEDED_BY,event_0049,56'
nottingham_forest,INVOLVED_IN,event_0050,56'
samba_sow,PERFORMED,event_0050,56'
event_0051,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,58'
event_0051,PRECEDED_BY,event_0050,58'
nottingham_forest,INVOLVED_IN,event_0051,58'
lewis_grabban,PERFORMED,event_0051,58'
event_0052,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,59'
event_0052,PRECEDED_BY,event_0051,59'
blackburn_rovers,INVOLVED_IN,event_0052,59'
event_0053,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,60'
event_0053,PRECEDED_BY,event_0052,60'
blackburn_rovers,INVOLVED_IN,event_0053,60'
danny_graham,PERFORMED,event_0053,60'
event_0053,ASSISTED_BY,stewart_downing,60'
event_0054,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,60'
event_0054,PRECEDED_BY,event_0053,60'
blackburn_rovers,INVOLVED_IN,event_0054,60'
stewart_downing,PERFORMED,event_0054,60'
event_0055,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,60'
event_0055,PRECEDED_BY,event_0054,60'
nottingham_forest,INVOLVED_IN,event_0055,60'
joe_lolley,PERFORMED,event_0055,60'
event_0056,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,60'
event_0056,PRECEDED_BY,event_0055,60'
blackburn_rovers,INVOLVED_IN,event_0056,60'
stewart_downing,PERFORMED,event_0056,60'
event_0057,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,60'
event_0057,PRECEDED_BY,event_0056,60'
blackburn_rovers,INVOLVED_IN,event_0057,60'
stewart_downing,PERFORMED,event_0057,60'
event_0056,TRIGGERED,event_0057,60'
event_0058,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,62'
event_0058,PRECEDED_BY,event_0057,62'
nottingham_forest,INVOLVED_IN,event_0058,62'
event_0059,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,63'
event_0059,PRECEDED_BY,event_0058,63'
blackburn_rovers,INVOLVED_IN,event_0059,63'
adam_armstrong,PERFORMED,event_0059,63'
event_0060,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,65'
event_0060,PRECEDED_BY,event_0059,65'
blackburn_rovers,INVOLVED_IN,event_0060,65'
joe_lolley,PERFORMED,event_0060,65'
event_0060,ASSISTED_BY,samba_sow,65'
event_0061,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,67'
event_0061,PRECEDED_BY,event_0060,67'
nottingham_forest,INVOLVED_IN,event_0061,67'
event_0062,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,68'
event_0062,PRECEDED_BY,event_0061,68'
blackburn_rovers,INVOLVED_IN,event_0062,68'
event_0063,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,68'
event_0063,PRECEDED_BY,event_0062,68'
blackburn_rovers,INVOLVED_IN,event_0063,68'
darragh_lenihan,PERFORMED,event_0063,68'
event_0063,ASSISTED_BY,stewart_downing,68'
jo_o_carvalho,PLAYS_FOR,nottingham_forest,70'
jo_o_carvalho,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,70'
event_0064,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,70'
event_0064,PRECEDED_BY,event_0063,70'
nottingham_forest,INVOLVED_IN,event_0064,70'
jo_o_carvalho,PERFORMED,event_0064,70'
event_0064,ASSISTED_BY,yuri_ribeiro,70'
joe_rothwell,PLAYS_FOR,blackburn_rovers,71'
joe_rothwell,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,71'
event_0065,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,71'
event_0065,PRECEDED_BY,event_0064,71'
blackburn_rovers,INVOLVED_IN,event_0065,71'
joe_rothwell,PERFORMED,event_0065,71'
event_0065,ASSISTED_BY,adam_armstrong,71'
event_0066,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,72'
event_0066,PRECEDED_BY,event_0065,72'
nottingham_forest,INVOLVED_IN,event_0066,72'
event_0067,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,73'
event_0067,PRECEDED_BY,event_0066,73'
blackburn_rovers,INVOLVED_IN,event_0067,73'
adam_armstrong,PERFORMED,event_0067,73'
jack_robinson,PLAYS_FOR,nottingham_forest,73'
jack_robinson,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,73'
event_0068,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,73'
event_0068,PRECEDED_BY,event_0067,73'
nottingham_forest,INVOLVED_IN,event_0068,73'
jack_robinson,PERFORMED,event_0068,73'
event_0069,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,76'
event_0069,PRECEDED_BY,event_0068,76'
blackburn_rovers,INVOLVED_IN,event_0069,76'
event_0070,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,76'
event_0070,PRECEDED_BY,event_0069,76'
blackburn_rovers,INVOLVED_IN,event_0070,76'
stewart_downing,PERFORMED,event_0070,76'
event_0071,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,76'
event_0071,PRECEDED_BY,event_0070,76'
nottingham_forest,INVOLVED_IN,event_0071,76'
jo_o_carvalho,PERFORMED,event_0071,76'
event_0071,ASSISTED_BY,albert_adomah,76'
event_0072,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,78'
event_0072,PRECEDED_BY,event_0071,78'
blackburn_rovers,INVOLVED_IN,event_0072,78'
adam_armstrong,PERFORMED,event_0072,78'
event_0073,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,78'
event_0073,PRECEDED_BY,event_0072,78'
nottingham_forest,INVOLVED_IN,event_0073,78'
jack_robinson,PERFORMED,event_0073,78'
event_0074,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,79'
event_0074,PRECEDED_BY,event_0073,79'
blackburn_rovers,INVOLVED_IN,event_0074,79'
event_0075,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,80'
event_0075,PRECEDED_BY,event_0074,80'
nottingham_forest,INVOLVED_IN,event_0075,80'
event_0076,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,82'
event_0076,PRECEDED_BY,event_0075,82'
blackburn_rovers,INVOLVED_IN,event_0076,82'
joe_rothwell,PERFORMED,event_0076,82'
event_0076,ASSISTED_BY,bradley_dack,82'
event_0077,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,82'
event_0077,PRECEDED_BY,event_0076,82'
blackburn_rovers,INVOLVED_IN,event_0077,82'
event_0078,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,83'
event_0078,PRECEDED_BY,event_0077,83'
blackburn_rovers,INVOLVED_IN,event_0078,83'
event_0079,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,83'
event_0079,PRECEDED_BY,event_0078,83'
blackburn_rovers,INVOLVED_IN,event_0079,83'
event_0080,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,83'
event_0080,PRECEDED_BY,event_0079,83'
blackburn_rovers,INVOLVED_IN,event_0080,83'
derrick_williams,PERFORMED,event_0080,83'
event_0080,ASSISTED_BY,adam_armstrong,83'
event_0081,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,84'
event_0081,PRECEDED_BY,event_0080,84'
blackburn_rovers,INVOLVED_IN,event_0081,84'
event_0082,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,85'
event_0082,PRECEDED_BY,event_0081,85'
blackburn_rovers,INVOLVED_IN,event_0082,85'
adam_armstrong,PERFORMED,event_0082,85'
event_0082,ASSISTED_BY,lewis_holtby,85'
dominic_samuel,PLAYS_FOR,blackburn_rovers,85'
dominic_samuel,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,85'
event_0083,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,85'
event_0083,PRECEDED_BY,event_0082,85'
blackburn_rovers,INVOLVED_IN,event_0083,85'
dominic_samuel,PERFORMED,event_0083,85'
event_0083,ASSISTED_BY,lewis_holtby,85'
event_0084,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,85'
event_0084,PRECEDED_BY,event_0083,85'
blackburn_rovers,INVOLVED_IN,event_0084,85'
stewart_downing,PERFORMED,event_0084,85'
event_0085,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,85'
event_0085,PRECEDED_BY,event_0084,85'
blackburn_rovers,INVOLVED_IN,event_0085,85'
dominic_samuel,PERFORMED,event_0085,85'
event_0086,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,85'
event_0086,PRECEDED_BY,event_0085,85'
blackburn_rovers,INVOLVED_IN,event_0086,85'
lewis_holtby,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,88'
event_0087,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,88'
event_0087,PRECEDED_BY,event_0086,88'
blackburn_rovers,INVOLVED_IN,event_0087,88'
lewis_holtby,PERFORMED,event_0087,88'
event_0087,ASSISTED_BY,adam_armstrong,88'
event_0088,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,88'
event_0088,PRECEDED_BY,event_0087,88'
blackburn_rovers,INVOLVED_IN,event_0088,88'
adam_armstrong,PERFORMED,event_0088,88'
event_0088,ASSISTED_BY,joe_rothwell,88'
elliott_bennett,PLAYS_FOR,blackburn_rovers,90'
elliott_bennett,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,90'
event_0089,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,90'
event_0089,PRECEDED_BY,event_0088,90'
blackburn_rovers,INVOLVED_IN,event_0089,90'
elliott_bennett,PERFORMED,event_0089,90'
event_0089,ASSISTED_BY,adam_armstrong,90'
event_0090,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,90'
event_0090,PRECEDED_BY,event_0089,90'
blackburn_rovers,INVOLVED_IN,event_0090,90'
joe_rothwell,PERFORMED,event_0090,90'
joe_worrall,PLAYS_FOR,nottingham_forest,90'+1'
joe_worrall,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,90'+1'
event_0091,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,90'+1'
event_0091,PRECEDED_BY,event_0090,90'+1'
nottingham_forest,INVOLVED_IN,event_0091,90'+1'
joe_worrall,PERFORMED,event_0091,90'+1'
event_0092,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,90'+1'
event_0092,PRECEDED_BY,event_0091,90'+1'
blackburn_rovers,INVOLVED_IN,event_0092,90'+1'
lewis_holtby,PERFORMED,event_0092,90'+1'
event_0093,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,90'+2'
event_0093,PRECEDED_BY,event_0092,90'+2'
blackburn_rovers,INVOLVED_IN,event_0093,90'+2'
dominic_samuel,PERFORMED,event_0093,90'+2'
event_0094,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,90'+2'
event_0094,PRECEDED_BY,event_0093,90'+2'
nottingham_forest,INVOLVED_IN,event_0094,90'+2'
matthew_cash,PERFORMED,event_0094,90'+2'
event_0095,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,90'+3'
event_0095,PRECEDED_BY,event_0094,90'+3'
blackburn_rovers,INVOLVED_IN,event_0095,90'+3'
joe_rothwell,PERFORMED,event_0095,90'+3'
event_0096,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,90'+3'
event_0096,PRECEDED_BY,event_0095,90'+3'
nottingham_forest,INVOLVED_IN,event_0096,90'+3'
matthew_cash,PERFORMED,event_0096,90'+3'
event_0097,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,90'+4'
event_0097,PRECEDED_BY,event_0096,90'+4'
blackburn_rovers,INVOLVED_IN,event_0097,90'+4'
darragh_lenihan,PERFORMED,event_0097,90'+4'
event_0098,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,90'+4'
event_0098,PRECEDED_BY,event_0097,90'+4'
nottingham_forest,INVOLVED_IN,event_0098,90'+4'
lewis_grabban,PERFORMED,event_0098,90'+4'
event_0099,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,90'+5'
event_0099,PRECEDED_BY,event_0098,90'+5'
blackburn_rovers,INVOLVED_IN,event_0099,90'+5'
